name,date
ASUS A520M,8-20-2025
ASUS A620M,9-10-2025
ASUS B550,9-9-2025
ASUS B760,7-14-2025
ASUS Z790,9-9-2025
ASUS B850,9-16-2025
ASUS B860,9-16-2025
ASUS Z890,9-5-2025
ASUS X870,9-10-2025
ASUS ROG B850,7-22-2025
ASUS ROG X870,10-2-2025
ASUS ROG X870E-E GAMING WIFI,9-25-2025
ASUS ROG CROSSHAIR X870E HERO,6-18-2025
ASUS ROG Z890,9-25-2025
MSI B650,9-2-2025
MSI B760,8-27-2025
MSI Z790,8-28-2025
MSI B850,9-11-2025
MSI Z890,9-9-2025
MSI X870,9-10-2025
GIGABYTE B850,10-2-2025
GIGABYTE B860,9-3-2025
GIGABYTE X870,7-22-2025
GIGABYTE Z890,10-23-2025
ASROCK B660,6-23-2025
ASROCK B650,9-29-2025






